collision,energy_depleted,episode_id,episode_length,episode_return,fraction_steps_progressing_to_task,mean_cos_center_goal,mean_cos_exec_goal,minimum_distance_to_task,outbound_acceptance_rate,outbound_fallback_rate,outbound_path_length,return_acceptance_rate,return_fallback_rate,return_path_length,return_success,task_success,terminal_energy,termination_reason,timeout,total_path_length
0,0,0,49,2.6134192076275156,0.7959183673469388,0.0,0.0733835322622498,0.22875339641245676,1.0,0.0,1.2791488993027627,0.0,1.0,0.0,0,0,29.402423659130502,VELOCITY_LIMIT,0,1.2791488993027627
1,0,1,37,-16.61833487364884,0.0,0.0,-0.03098487913026205,0.8006133020702861,1.0,0.0,0.9859266084670909,0.0,1.0,0.0,0,0,29.548125340881647,COLLISION,0,0.9859266084670909
1,0,2,44,-11.815072104967236,0.5,0.0,0.03354513979573047,0.636895203244089,1.0,0.0,1.0027824010792843,0.0,1.0,0.0,0,0,29.463869132390865,COLLISION,0,1.0027824010792843
1,0,3,43,-10.708138031649511,0.5348837209302325,0.0,0.11270801861806604,0.7870612216804775,1.0,0.0,1.259118568444494,0.0,1.0,0.0,0,0,29.47430100142114,COLLISION,0,1.259118568444494
1,0,4,84,-22.976178310238346,0.011904761904761904,0.0,0.07728096383060572,0.8014726046408306,1.0,0.0,2.5264466410508737,0.0,1.0,0.0,0,0,28.971156493153593,COLLISION,0,2.5264466410508737
1,0,5,25,-15.276861079210775,0.0,0.0,-0.20007621544644144,0.801039196967382,1.0,0.0,0.5972282494516619,0.0,1.0,0.0,0,0,29.695028617599856,COLLISION,0,0.5972282494516619
1,0,6,123,-17.050219459551556,0.3170731707317073,0.0,0.11904258874554201,0.6288169771945917,1.0,0.0,3.304287093648697,0.0,1.0,0.0,0,0,28.496881461780443,COLLISION,0,3.304287093648697
1,0,7,28,-15.103555531100625,0.0,0.0,-0.13830187858687376,0.8012176559553702,1.0,0.0,0.549126658156319,0.0,1.0,0.0,0,0,29.659663827635466,COLLISION,0,0.549126658156319
1,0,8,36,-16.570289401901302,0.19444444444444445,0.0,-0.02591038697171608,0.765322684486188,1.0,0.0,0.8968106746398686,0.0,1.0,0.0,0,0,29.55962830599289,COLLISION,0,0.8968106746398686
1,0,9,46,-11.190374402068736,0.45652173913043476,0.0,0.07519179095816185,0.6868549273524149,1.0,0.0,1.0757107732390534,0.0,1.0,0.0,0,0,29.4383735811603,COLLISION,0,1.0757107732390534
0,0,10,84,-12.037776094180176,0.11904761904761904,0.0,-0.05363365232021154,0.799867519857568,1.0,0.0,2.2516353935672284,0.0,1.0,0.0,0,0,28.97376625138147,VELOCITY_LIMIT,0,2.2516353935672284
0,0,11,28,-6.865103776193268,0.0,0.0,-0.16609607100106308,0.8023455521289863,1.0,0.0,0.9338684496468136,0.0,1.0,0.0,0,0,29.655794440740937,VELOCITY_LIMIT,0,0.9338684496468136
